code,company_name,sector,basis,first_year,last_year,company_number,match_basis,match_years
EZJ,EASYJET PLC,Industrials,"GICS-style classification, reconstructed 2026-08-26",2013,2024,03959649,code_unique,2013-2024
FCIT,F&C INVESTMENT TRUST PLC,Financials,"GICS-style classification, reconstructed 2026-08-26",1995,2024,00012901,code_unique,1995-2024
FER,Ferranti International,Industrials,"GICS-style classification, reconstructed 2026-08-26",1983,1985,,unresolved_no_composition_record,
FERG,Ferguson,Industrials,"GICS-style classification, reconstructed 2026-08-26",2017,2021,SC246627,code_unique,2017-2021
FGP,First Group,Industrials,"GICS-style classification, reconstructed 2026-08-26",2007,2008,,unresolved_no_composition_record,
FISO,Fisons,Health Care,"GICS-style classification, reconstructed 2026-08-26",1983,1992,00044687,code_unique,1983-1992
FLG,Friends Life Group Limited,Financials,"GICS-style classification, reconstructed 2026-08-26",2014,2014,,unresolved_no_composition_record,
FLTR,Flutter Entertainment,Consumer Discretionary,"GICS-style classification, reconstructed 2026-08-26",2019,2023,,unresolved_no_composition_record,
FOR,Forte plc,Consumer Discretionary,"GICS-style classification, reconstructed 2026-08-26",1983,1995,,unresolved_no_composition_record,
FP.,Friends Provident,Financials,"GICS-style classification, reconstructed 2026-08-26",2001,2007,,unresolved_no_composition_record,
FRAS,Frasers Group,Consumer Discretionary,"GICS-style classification, reconstructed 2026-08-26",2013,2023,11775757,code_plus_year_overlap,2013-2015
FRES,FRESNILLO PLC,Materials,"GICS-style classification, reconstructed 2026-08-26",2009,2024,06344120,code_unique,2009-2024
GAA,Granada,Communication Services,"GICS-style classification, reconstructed 2026-08-26",1984,2003,00290076,code_plus_year_overlap,1984-1999
GAC,General Accident,Financials,"GICS-style classification, reconstructed 2026-08-26",1983,1997,SC119505,code_unique,1990-1997
GAW,GAMES WORKSHOP GROUP PLC,Consumer Discretionary,"GICS-style classification, reconstructed 2026-08-26",2024,2024,02670969,code_unique,2024-2024
GBT,Globe Investment Trust,Financials,"GICS-style classification, reconstructed 2026-08-26",1983,1987,,unresolved_no_composition_record,
GEC,General Electric Company,Industrials,"GICS-style classification, reconstructed 2026-08-26",1983,1998,12657712,code_unique,1983-1998
GFS,G4S,Industrials,"GICS-style classification, reconstructed 2026-08-26",2007,2017,04992207,code_unique,2007-2017
GKN,GKN,Industrials,"GICS-style classification, reconstructed 2026-08-26",1983,2017,04191106,code_unique,1986-2017
GLEN,GLENCORE PLC,Materials,"GICS-style classification, reconstructed 2026-08-26",2011,2024,,unresolved_no_composition_record,
GLH,Gallaher Group,Consumer Staples,"GICS-style classification, reconstructed 2026-08-26",1998,2006,03299793,code_unique,1998-2006
GLXO,Glaxo Wellcome,Health Care,"GICS-style classification, reconstructed 2026-08-26",1983,1999,00480080,code_unique,1995-1999
GMT,Grand Metropolitan,Consumer Staples,"GICS-style classification, reconstructed 2026-08-26",1983,1996,00291848,code_unique,1983-1996
GNS,Guinness,Consumer Staples,"GICS-style classification, reconstructed 2026-08-26",1985,1996,00510607,code_unique,1985-1996
GRE,Guardian Royal Exchange Plc,Financials,"GICS-style classification, reconstructed 2026-08-26",1983,1998,,unresolved_no_composition_record,
GSK,GSK PLC,Health Care,"GICS-style classification, reconstructed 2026-08-26",2000,2024,03888792,code_unique,2000-2024
GUS,GUS,Consumer Discretionary,"GICS-style classification, reconstructed 2026-08-26",1983,2005,,unresolved_no_composition_record,
HARC,Harrisons & Crosfield,Materials,"GICS-style classification, reconstructed 2026-08-26",1983,1990,05998739,code_unique,1983-1990
HAS,Hays,Industrials,"GICS-style classification, reconstructed 2026-08-26",1996,2004,02150950,code_unique,1996-2004
HAWK,Hawker Siddeley Group,Industrials,"GICS-style classification, reconstructed 2026-08-26",1983,1990,00068237,code_unique,1983-1990
HBL.L,Allied Hambro,Financials,"GICS-style classification, reconstructed 2026-08-26",1983,1984,,unresolved_no_composition_record,
HBOS,HBOS,Financials,"GICS-style classification, reconstructed 2026-08-26",1997,2008,SC218813,code_unique,2001-2008
HIK,HIKMA PHARMACEUTICALS PLC,Health Care,"GICS-style classification, reconstructed 2026-08-26",2015,2024,,unresolved_no_composition_record,
HILL,Hillsdown Holdings,Consumer Staples,"GICS-style classification, reconstructed 2026-08-26",1987,1991,11408139,code_unique,1987-1991
HL.,Hargreaves Lansdown,Financials,"GICS-style classification, reconstructed 2026-08-26",2011,2024,02122142,code_unique,2011-2024
HLMA,HALMA PLC,Information Technology,"GICS-style classification, reconstructed 2026-08-26",2017,2024,00040932,code_unique,2017-2024
HLN,HALEON PLC,Consumer Staples,"GICS-style classification, reconstructed 2026-08-26",2022,2024,13691224,code_unique,2022-2024
HMSO,Hammerson Property,Real Estate,"GICS-style classification, reconstructed 2026-08-26",1983,2017,00360632,code_unique,2005-2017
HNS,Hanson,Materials,"GICS-style classification, reconstructed 2026-08-26",1983,2006,00110768,code_unique,1983-1985
HOF,House of Fraser,Consumer Discretionary,"GICS-style classification, reconstructed 2026-08-26",1983,1984,10686681,code_unique,1983-1984
HOME,Home Retail Group,Consumer Discretionary,"GICS-style classification, reconstructed 2026-08-26",1995,2009,05863533,code_plus_year_overlap,2006-2009
HSBA,HSBC HLDGS PLC,Financials,"GICS-style classification, reconstructed 2026-08-26",1992,2024,00617987,code_unique,1992-2024
HSV,Homeserve,Industrials,"GICS-style classification, reconstructed 2026-08-26",2022,2022,02648297,code_unique,2022-2022
HSX,HISCOX LD,Financials,"GICS-style classification, reconstructed 2026-08-26",2018,2024,02837811,code_unique,2018-2024
HWDN,HOWDEN JOINERY GROUP PLC,Industrials,"GICS-style classification, reconstructed 2026-08-26",2023,2024,02128710,code_unique,2023-2024
IAG,INTL CONSOLIDATED AIRLINES GROUP SA,Industrials,"GICS-style classification, reconstructed 2026-08-26",2011,2024,FC029884,code_unique,2011-2024
IAP,ICAP,Financials,"GICS-style classification, reconstructed 2026-08-26",2006,2011,,unresolved_no_composition_record,
ICG,INTERMEDIATE CAPITAL GROUP PLC,Financials,"GICS-style classification, reconstructed 2026-08-26",2020,2024,14840880,code_unique,2020-2024
ICGS,Imperial Continental Gas Ass.,Utilities,"GICS-style classification, reconstructed 2026-08-26",1983,1984,,unresolved_no_composition_record,
ICI,Imperial Chemical Industries,Materials,"GICS-style classification, reconstructed 2026-08-26",1983,2006,00218019,code_unique,1983-2006
IHG,INTERCONTINENTAL HOTELS GROUP PLC,Consumer Discretionary,"GICS-style classification, reconstructed 2026-08-26",2003,2024,05134420,code_unique,2003-2024
III,3I GROUP PLC,Financials,"GICS-style classification, reconstructed 2026-08-26",1994,2024,01142830,code_unique,1994-2024
IMB,IMPERIAL BRANDS PLC,Consumer Staples,"GICS-style classification, reconstructed 2026-08-26",2016,2024,00511276,code_unique,2016-2024
IMI,IMI PLC,Industrials,"GICS-style classification, reconstructed 2026-08-26",2010,2024,00714275,code_unique,2010-2024
IMT,Imperial Tobacco Group,Consumer Staples,"GICS-style classification, reconstructed 2026-08-26",1983,2015,00073800,code_plus_year_overlap,1996-2015
INCH,Inchcape plc,Consumer Discretionary,"GICS-style classification, reconstructed 2026-08-26",1991,1994,00609782,code_unique,1991-1994
INF,INFORMA PLC,Communication Services,"GICS-style classification, reconstructed 2026-08-26",2016,2024,08860726,code_unique,2016-2024
INTU,Intu Properties,Real Estate,"GICS-style classification, reconstructed 2026-08-26",2014,2016,03685527,code_unique,2014-2016
INVP,Investec,Financials,"GICS-style classification, reconstructed 2026-08-26",2010,2010,03633621,code_unique,2010-2010
IOG,Innogy Hldgs,Utilities,"GICS-style classification, reconstructed 2026-08-26",2001,2001,,unresolved_no_composition_record,
IPR,International Power,Utilities,"GICS-style classification, reconstructed 2026-08-26",2000,2011,05186841,code_unique,2000-2011
ISAT,Inmarsat,Communication Services,"GICS-style classification, reconstructed 2026-08-26",2008,2015,04886115,code_unique,2008-2015
ISYS,Invensys,Industrials,"GICS-style classification, reconstructed 2026-08-26",1999,2010,00166023,code_unique,1999-2010
ITRK,INTERTEK GROUP PLC,Industrials,"GICS-style classification, reconstructed 2026-08-26",2009,2024,04267576,code_unique,2009-2024
ITV,ITV,Communication Services,"GICS-style classification, reconstructed 2026-08-26",2004,2021,04967001,code_unique,2004-2021
JAG,Jaguar,Consumer Discretionary,"GICS-style classification, reconstructed 2026-08-26",1985,1987,15049410,code_unique,1985-1987
JD.,JD SPORTS FASHION PLC,Consumer Discretionary,"GICS-style classification, reconstructed 2026-08-26",2019,2024,01888425,code_unique,2019-2024
JE.,Just Eat,Consumer Discretionary,"GICS-style classification, reconstructed 2026-08-26",2017,2019,06947854,code_unique,2017-2019
JET,Just Eat Takeaway.com,Consumer Discretionary,"GICS-style classification, reconstructed 2026-08-26",2020,2020,06947854,code_unique,2020-2020
JMAT,Johnson Matthey,Materials,"GICS-style classification, reconstructed 2026-08-26",1983,2020,00033774,code_unique,1983-2020
