code,company_name,sector,first_year,last_year,basis
HILL,Hillsdown Holdings,Consumer Staples,1987,1991,"GICS-style classification, reconstructed 2026-08-26"
HL.,Hargreaves Lansdown,Financials,2011,2024,"GICS-style classification, reconstructed 2026-08-26"
HLMA,HALMA PLC,Information Technology,2017,2024,"GICS-style classification, reconstructed 2026-08-26"
HLN,HALEON PLC,Consumer Staples,2022,2024,"GICS-style classification, reconstructed 2026-08-26"
HMSO,Hammerson Property,Real Estate,1983,2017,"GICS-style classification, reconstructed 2026-08-26"
HNS,Hanson,Materials,1983,2006,"GICS-style classification, reconstructed 2026-08-26"
HOF,House of Fraser,Consumer Discretionary,1983,1984,"GICS-style classification, reconstructed 2026-08-26"
HOME,Home Retail Group,Consumer Discretionary,1995,2009,"GICS-style classification, reconstructed 2026-08-26"
HSBA,HSBC HLDGS PLC,Financials,1992,2024,"GICS-style classification, reconstructed 2026-08-26"
HSV,Homeserve,Industrials,2022,2022,"GICS-style classification, reconstructed 2026-08-26"
HSX,HISCOX LD,Financials,2018,2024,"GICS-style classification, reconstructed 2026-08-26"
HWDN,HOWDEN JOINERY GROUP PLC,Industrials,2023,2024,"GICS-style classification, reconstructed 2026-08-26"
IAG,INTL CONSOLIDATED AIRLINES GROUP SA,Industrials,2011,2024,"GICS-style classification, reconstructed 2026-08-26"
IAP,ICAP,Financials,2006,2011,"GICS-style classification, reconstructed 2026-08-26"
ICG,INTERMEDIATE CAPITAL GROUP PLC,Financials,2020,2024,"GICS-style classification, reconstructed 2026-08-26"
ICGS,Imperial Continental Gas Ass.,Utilities,1983,1984,"GICS-style classification, reconstructed 2026-08-26"
ICI,Imperial Chemical Industries,Materials,1983,2006,"GICS-style classification, reconstructed 2026-08-26"
IHG,INTERCONTINENTAL HOTELS GROUP PLC,Consumer Discretionary,2003,2024,"GICS-style classification, reconstructed 2026-08-26"
III,3I GROUP PLC,Financials,1994,2024,"GICS-style classification, reconstructed 2026-08-26"
IMB,IMPERIAL BRANDS PLC,Consumer Staples,2016,2024,"GICS-style classification, reconstructed 2026-08-26"
