id,company_name,company_number,start_date,end_date,entry_type,exit_type,exit_name,source_url
234,Scottish & Newcastle,SC016288,2000-06-19,2000-09-18,added,removed,,https://find-and-update.company-information.service.gov.uk/company/SC016288
274,PowerGen Plc,03586615,2000-07-12,2002-07-02,added,removed,Powergen,https://find-and-update.company-information.service.gov.uk/company/03586615
254,Dimension Data Holdings,03704278,2000-09-18,2001-08-07,added,removed,,https://find-and-update.company-information.service.gov.uk/company/03704278
248,Granada Media,03106798,2000-09-18,2001-02-02,added,removed,,https://find-and-update.company-information.service.gov.uk/company/03106798
263,Spirent,00720989,2000-09-18,2001-09-24,added,removed,,https://find-and-update.company-information.service.gov.uk/company/00720989
278,Lattice Group PLC,03900804,2000-10-23,2002-10-21,added,removed,Lattice,https://find-and-update.company-information.service.gov.uk/company/03900804
243,P & O Princess Cruises PLC,03902746,2000-10-23,2000-12-18,added,removed,P & O Princess Cruises,https://find-and-update.company-information.service.gov.uk/company/03902746
560,Associated British Foods,00293262,2000-12-18,,added,current,,https://find-and-update.company-information.service.gov.uk/company/00293262
282,Rolls Royce,01003142,2000-12-18,2003-03-24,added,removed,,https://find-and-update.company-information.service.gov.uk/company/01003142
291,Safeway,01299733,2000-12-18,2004-03-08,added,removed,,https://find-and-update.company-information.service.gov.uk/company/01299733
423,Smiths Group,00137013,2000-12-18,2016-03-21,added,removed,,https://find-and-update.company-information.service.gov.uk/company/00137013
562,Compass Group,04083914,2001-02-02,,added,current,,https://find-and-update.company-information.service.gov.uk/company/04083914
346,Scottish & Newcastle,SC016288,2001-03-19,2008-04-28,added,removed,,https://find-and-update.company-information.service.gov.uk/company/SC016288
420,Morrison (Wm.),00358949,2001-04-10,2015-12-21,added,removed,Morrison (Wm) Supermarkets,https://find-and-update.company-information.service.gov.uk/company/00358949
565,Smith & Nephew PLC,00324357,2001-07-12,,added,current,,https://find-and-update.company-information.service.gov.uk/company/00324357
325,Gallaher Group,03299793,2001-09-10,2007-04-17,added,removed,,https://find-and-update.company-information.service.gov.uk/company/03299793
566,HBOS,SC218813,2001-09-10,,added,exit_unresolved,,https://find-and-update.company-information.service.gov.uk/company/SC218813
498,British Land Co,00621920,2001-09-24,2023-06-19,added,removed,,https://find-and-update.company-information.service.gov.uk/company/00621920
269,Enterprise Oil,01682048,2001-09-24,2002-05-10,added,removed,,https://find-and-update.company-information.service.gov.uk/company/01682048
567,Severn Trent,02366619,2001-09-24,,added,current,,https://find-and-update.company-information.service.gov.uk/company/02366619
364,Wolseley,00029846,2001-09-24,2009-03-23,added,removed,,https://find-and-update.company-information.service.gov.uk/company/00029846
568,BT Group,04190816,2001-11-19,,added,current,,https://find-and-update.company-information.service.gov.uk/company/04190816
309,mmO2,04190833,2001-11-19,2006-01-26,added,removed,O2,https://find-and-update.company-information.service.gov.uk/company/04190833
468,P&O Princess Cruises,03902746,2001-12-24,2020-06-22,added,removed,Carnival,https://find-and-update.company-information.service.gov.uk/company/03902746
281,Corus Group,03811373,2002-03-18,2002-12-23,added,removed,,https://find-and-update.company-information.service.gov.uk/company/03811373
306,Exel,00073975,2002-05-10,2005-12-13,added,removed,Exel,https://find-and-update.company-information.service.gov.uk/company/00073975
300,Bunzl,00358948,2002-06-24,2005-06-20,added,removed,,https://find-and-update.company-information.service.gov.uk/company/00358948
479,Johnson Matthey,00033774,2002-06-24,2021-12-20,added,removed,,https://find-and-update.company-information.service.gov.uk/company/00033774
569,Xstrata,04345939,2002-06-24,,added,exit_unresolved,,https://find-and-update.company-information.service.gov.uk/company/04345939
295,Bradford & Bingley,03938288,2002-07-02,2004-09-20,added,removed,,https://find-and-update.company-information.service.gov.uk/company/03938288
411,Rexam,00191285,2002-09-23,2014-09-22,added,removed,,https://find-and-update.company-information.service.gov.uk/company/00191285
283,British Airways,01777777,2002-12-23,2003-03-24,added,removed,,https://find-and-update.company-information.service.gov.uk/company/01777777
307,Whitbread,04120344,2002-12-23,2005-12-19,added,removed,,https://find-and-update.company-information.service.gov.uk/company/04120344
292,Foreign & Col Invest Trust,00012901,2003-03-24,2004-03-22,added,removed,Foreign & Col Inv Trust,https://find-and-update.company-information.service.gov.uk/company/00012901
288,Kelda Group,02366627,2003-03-24,2003-09-22,added,removed,,https://find-and-update.company-information.service.gov.uk/company/02366627
473,Royal & Sun Alliance,02339826,2003-06-23,2021-05-28,added,removed,RSA Insurance Group,https://find-and-update.company-information.service.gov.uk/company/02339826
571,Rolls Royce,01003142,2003-06-23,,added,current,,https://find-and-update.company-information.service.gov.uk/company/01003142
572,British Airways,01777777,2003-12-22,,added,exit_unresolved,,https://find-and-update.company-information.service.gov.uk/company/01777777
303,Hays,02150950,2003-12-22,2005-09-19,added,removed,,https://find-and-update.company-information.service.gov.uk/company/02150950
573,Antofagasta,01627889,2004-03-08,,added,current,,https://find-and-update.company-information.service.gov.uk/company/01627889
308,William Hill,04212563,2004-04-08,2005-12-19,added,removed,,https://find-and-update.company-information.service.gov.uk/company/04212563
433,Capita Group,02081330,2004-06-21,2017-03-20,added,removed,Capita,https://find-and-update.company-information.service.gov.uk/company/02081330
299,Corus Group,03811373,2004-11-16,2005-06-20,added,removed,,https://find-and-update.company-information.service.gov.uk/company/03811373
305,BPB,00147271,2005-06-20,2005-12-08,added,removed,,https://find-and-update.company-information.service.gov.uk/company/00147271
443,Hammerson,00360632,2005-06-20,2018-03-19,added,removed,,https://find-and-update.company-information.service.gov.uk/company/00360632
574,Royal Dutch Shell A&B,04366849,2005-07-20,,added,current,Shell Transport & Trading Co,https://find-and-update.company-information.service.gov.uk/company/04366849
332,Kelda Group,02366627,2005-07-26,2007-09-24,added,removed,,https://find-and-update.company-information.service.gov.uk/company/02366627
349,Persimmon,05525338,2005-12-19,2008-06-23,added,removed,,https://find-and-update.company-information.service.gov.uk/company/05525338
322,British Energy Group,SC270184,2006-01-26,2006-12-18,added,removed,,https://find-and-update.company-information.service.gov.uk/company/SC270184
324,Corus Group,03811373,2006-03-09,2007-03-30,added,removed,,https://find-and-update.company-information.service.gov.uk/company/03811373
330,Drax Group,05562053,2006-06-19,2007-09-24,added,removed,,https://find-and-update.company-information.service.gov.uk/company/05562053
405,Vedanta Resources,04740415,2006-06-19,2013-12-23,added,removed,,https://find-and-update.company-information.service.gov.uk/company/04740415
327,Bradford & Bingley,03938288,2006-09-05,2007-06-18,added,removed,,https://find-and-update.company-information.service.gov.uk/company/03938288
577,Experian Group,03720393,2006-10-11,,added,current,,https://find-and-update.company-information.service.gov.uk/company/03720393
350,Home Retail Group,05863533,2006-10-11,2008-06-23,added,removed,,https://find-and-update.company-information.service.gov.uk/company/05863533
368,Whitbread,04120344,2006-12-18,2009-06-22,added,removed,,https://find-and-update.company-information.service.gov.uk/company/04120344
337,Daily Mail & General Trust,00184594,2007-03-19,2007-12-24,added,removed,,https://find-and-update.company-information.service.gov.uk/company/00184594
