symbol,company_name,cik,sector,sub_industry,hq,founded,sp_entry_date,sp_exit_date
CRH,CRH plc,0000849395,Materials,Construction Materials,"Dublin, Ireland",1970,2025-12-22,
CRL,Charles River Laboratories,0001100682,Health Care,Life Sciences Tools & Services,"Wilmington, Massachusetts",1947,2021-05-14,
CRM,Salesforce,0001108524,Information Technology,Application Software,"San Francisco, California",1999,2008-09-15,
CRWD,CrowdStrike,0001535527,Information Technology,Systems Software,"Austin, Texas",2011,2024-06-24,
CSCO,Cisco,0000858877,Information Technology,Communications Equipment,"San Jose, California",1984,1996-01-02,
CSGP,CoStar Group,0001057352,Real Estate,Real Estate Services,"Washington, D.C.",1987,2022-09-19,
CSR,CENTERSPACE,0000798359,Real Estate,,,,1996-01-02,2000-06-16
CSRA,,0001646383,Information Technology,,,,2015-11-30,2018-04-04
CSX,CSX Corporation,0000277948,Industrials,Rail Transportation,"Jacksonville, Florida",1980,1996-01-02,
CTAS,Cintas,0000723254,Industrials,Diversified Support Services,"Mason, Ohio",1929,2001-03-01,
CTB,,0000024491,Materials,,,,1996-01-02,2006-07-18
CTL,"Lumen Technologies, Inc.",0000018926,Communication Services,,,,1999-03-25,2023-03-20
CTLT,,0001596783,Health Care,,,,2020-09-21,2024-12-23
CTRA,,0000858470,Energy,,,,2008-06-23,2026-05-07
CTSH,Cognizant,0001058290,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",1994,2006-11-17,
CTVA,Corteva,0001755672,Materials,Fertilizers & Agricultural Chemicals,"Indianapolis, Indiana",2019,2019-06-03,
CTX,,0000018532,Consumer Discretionary,,,,1996-01-02,2009-08-19
CTXS,,0000877890,Information Technology,,,,1999-12-01,2022-10-03
CVC,,0001053112,Communication Services,,,,2010-12-20,2016-06-21
CVG,,0001062047,Information Technology,,,,2000-06-13,2009-12-21
CVH,,0001054833,Health Care,,,,2005-08-30,2013-05-07
CVNA,Carvana,0001690820,Consumer Discretionary,Automotive Retail,"Tempe, Arizona",2012,2025-12-22,
CVS,CVS Health,0000064803,Health Care,Health Care Services,"Woonsocket, Rhode Island",1996,1996-01-02,
CVX,Chevron Corporation,0000093410,Energy,Integrated Oil & Gas,"Houston, Texas",1879,1996-01-02,
CXO,,0001358071,Energy,,,,2016-02-22,2021-01-21
CZR,"Caesars Entertainment, Inc.",0001590895,Consumer Discretionary,,,,2021-03-22,2025-09-22
D,Dominion Energy,0000715957,Utilities,Multi-Utilities,"Richmond, Virginia",1983,1996-01-02,
DAL,Delta Air Lines,0000027904,Industrials,Passenger Airlines,"Atlanta, Georgia",1929,1996-01-02,2005-08-19
DALRQ,Delta Air Lines,0000027904,Industrials,Passenger Airlines,"Atlanta, Georgia",1929,1996-01-02,2005-08-19
DASH,DoorDash,0001792789,Consumer Discretionary,Specialized Consumer Services,"San Francisco, California",2012,2025-03-24,
DCNAQ,,0000026780,Consumer Discretionary,,,,1996-01-02,2006-03-03
DD,DuPont,0001666700,Materials,Specialty Chemicals,"Wilmington, Delaware",2017 (1802),1996-01-02,2019-06-03
DDOG,Datadog,0001561550,Information Technology,Application Software,"New York City, New York",2010,2025-07-09,
DDR,,0000894315,Real Estate,,,,2007-03-23,2009-03-30
DDS,"DILLARD'S, INC.",0000028917,Consumer Discretionary,,,,1996-01-02,2008-10-22
DE,Deere & Company,0000315189,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",1837,1996-01-02,
DEC,Diversified Energy Co,0001922446,Energy,,,,1996-01-02,1998-06-12
DECK,Deckers Brands,0000910521,Consumer Discretionary,Footwear,"Goleta, California",1973,2024-03-18,
DELL,Dell Technologies,0001571996,Information Technology,"Technology Hardware, Storage & Peripherals","Round Rock, Texas",2016,1996-09-06,2013-10-29
DF,,0000931336,Consumer Staples,,,,2006-04-03,2013-05-24
DFS,,0001393612,Financials,,,,2007-07-02,2025-05-19
DG,Dollar General,0000029534,Consumer Staples,Consumer Staples Merchandise Retail,"Goodlettsville, Tennessee",1939,1998-07-16,2007-07-09
DGX,Quest Diagnostics,0001022079,Health Care,Health Care Services,"Secaucus, New Jersey",1967,2002-12-12,
DHI,D. R. Horton,0000882184,Consumer Discretionary,Homebuilding,"Arlington, Texas",1978,2005-07-05,
DHR,Danaher Corporation,0000313616,Health Care,Life Sciences Tools & Services,"Washington, D.C.",1969,1998-11-18,
DIS,Walt Disney Company (The),0001744489,Communication Services,Movies & Entertainment,"Burbank, California",1923,1996-01-02,
